,index,Season,Region,Country,YearWeek,Clinical syndrome,00-04a,05-14a,15-64a,65+a
324,4,2020/2021,EU/EEA,France,2020-W42,ILI,44.37895633,31.76897821,58.9163887,16.98741226
325,5,2020/2021,WHO Europe,France,2020-W42,ILI,44.37895633,31.76897821,58.9163887,16.98741226
326,6,2020/2021,EU/EEA,France,2020-W43,ILI,26.53732138,20.19941784,73.06587439,38.66520818
327,7,2020/2021,WHO Europe,France,2020-W43,ILI,26.53732138,20.19941784,73.06587439,38.66520818
328,8,2020/2021,EU/EEA,France,2020-W44,ILI,6.92277949,15.17795107,70.6479243,35.96214617
329,9,2020/2021,WHO Europe,France,2020-W44,ILI,6.92277949,15.17795107,70.6479243,35.96214617
330,10,2020/2021,EU/EEA,France,2020-W45,ILI,11.48168306,18.19335448,61.18508261,49.56882734
331,11,2020/2021,WHO Europe,France,2020-W45,ILI,11.48168306,18.19335448,61.18508261,49.56882734
332,12,2020/2021,EU/EEA,France,2020-W46,ILI,22.03470057,11.1279741,32.91347488,30.64739325
333,13,2020/2021,WHO Europe,France,2020-W46,ILI,22.03470057,11.1279741,32.91347488,30.64739325
334,14,2020/2021,EU/EEA,France,2020-W47,ILI,17.44765563,10.34573556,20.03764191,13.27165377
335,15,2020/2021,WHO Europe,France,2020-W47,ILI,17.44765563,10.34573556,20.03764191,13.27165377
336,16,2020/2021,EU/EEA,France,2020-W48,ILI,22.48496265,9.248078248,21.62722021,7.416288454
337,17,2020/2021,WHO Europe,France,2020-W48,ILI,22.48496265,9.248078248,21.62722021,7.416288454
338,18,2020/2021,EU/EEA,France,2020-W49,ILI,24.37043512,12.51581667,18.02268351,6.967047161
339,19,2020/2021,WHO Europe,France,2020-W49,ILI,24.37043512,12.51581667,18.02268351,6.967047161
340,20,2020/2021,EU/EEA,France,2020-W50,ILI,50.82333236,6.421926096,18.41074957,7.599030674
341,21,2020/2021,WHO Europe,France,2020-W50,ILI,50.82333236,6.421926096,18.41074957,7.599030674
342,22,2020/2021,EU/EEA,France,2020-W51,ILI,33.96664571,18.77372501,20.92820377,9.129496772
343,23,2020/2021,WHO Europe,France,2020-W51,ILI,33.96664571,18.77372501,20.92820377,9.129496772
344,24,2020/2021,EU/EEA,France,2020-W52,ILI,19.83967293,13.63870748,16.99779108,17.22345429
345,25,2020/2021,WHO Europe,France,2020-W52,ILI,19.83967293,13.63870748,16.99779108,17.22345429
346,26,2020/2021,EU/EEA,France,2020-W53,ILI,28.50721798,4.327545483,27.91836811,26.15498033
347,27,2020/2021,WHO Europe,France,2020-W53,ILI,28.50721798,4.327545483,27.91836811,26.15498033
348,28,2020/2021,EU/EEA,France,2021-W01,ILI,27.25291735,15.31702062,26.37427472,23.90485333
349,29,2020/2021,WHO Europe,France,2021-W01,ILI,27.25291735,15.31702062,26.37427472,23.90485333
350,30,2020/2021,EU/EEA,France,2021-W02,ILI,39.95192072,20.2963161,19.83379435,15.88453718
351,31,2020/2021,WHO Europe,France,2021-W02,ILI,39.95192072,20.2963161,19.83379435,15.88453718
352,32,2020/2021,EU/EEA,France,2021-W03,ILI,53.56411085,32.34014503,24.59800217,13.25321937
353,33,2020/2021,WHO Europe,France,2021-W03,ILI,53.56411085,32.34014503,24.59800217,13.25321937
354,34,2020/2021,EU/EEA,France,2021-W04,ILI,121.139931,22.54584554,25.68974774,14.27898733
355,35,2020/2021,WHO Europe,France,2021-W04,ILI,121.139931,22.54584554,25.68974774,14.27898733
356,36,2020/2021,EU/EEA,France,2021-W05,ILI,72.11321689,27.41140077,21.57509107,17.83200968
357,37,2020/2021,WHO Europe,France,2021-W05,ILI,72.11321689,27.41140077,21.57509107,17.83200968
358,38,2020/2021,EU/EEA,France,2021-W06,ILI,100.3363952,26.71632145,24.48308158,9.915756948
359,39,2020/2021,WHO Europe,France,2021-W06,ILI,100.3363952,26.71632145,24.48308158,9.915756948
360,40,2020/2021,EU/EEA,France,2021-W07,ILI,91.91795474,14.50820105,24.38065236,10.44350713
361,41,2020/2021,WHO Europe,France,2021-W07,ILI,91.91795474,14.50820105,24.38065236,10.44350713
362,42,2020/2021,EU/EEA,France,2021-W08,ILI,80.10360104,11.14654471,23.47627731,12.66600438
363,43,2020/2021,WHO Europe,France,2021-W08,ILI,80.10360104,11.14654471,23.47627731,12.66600438
364,44,2020/2021,EU/EEA,France,2021-W09,ILI,42.12073927,22.2425382,17.02073824,13.27551867
365,45,2020/2021,WHO Europe,France,2021-W09,ILI,42.12073927,22.2425382,17.02073824,13.27551867
366,46,2020/2021,EU/EEA,France,2021-W10,ILI,85.01197987,25.5283677,20.9755054,10.99355662
367,47,2020/2021,WHO Europe,France,2021-W10,ILI,85.01197987,25.5283677,20.9755054,10.99355662
368,48,2020/2021,EU/EEA,France,2021-W11,ILI,120.9116343,24.27722493,26.51417804,16.46431907
369,49,2020/2021,WHO Europe,France,2021-W11,ILI,120.9116343,24.27722493,26.51417804,16.46431907
370,50,2020/2021,EU/EEA,France,2021-W12,ILI,94.02969912,39.87227728,33.92905418,18.35975987
371,51,2020/2021,WHO Europe,France,2021-W12,ILI,94.02969912,39.87227728,33.92905418,18.35975987
372,52,2020/2021,EU/EEA,France,2021-W13,ILI,83.35682887,19.26001603,30.00926285,12.34638103
373,53,2020/2021,WHO Europe,France,2021-W13,ILI,83.35682887,19.26001603,30.00926285,12.34638103
374,54,2020/2021,EU/EEA,France,2021-W14,ILI,30.53468226,8.075557902,25.08016898,13.4613462
375,55,2020/2021,WHO Europe,France,2021-W14,ILI,30.53468226,8.075557902,25.08016898,13.4613462
376,56,2020/2021,EU/EEA,France,2021-W15,ILI,66.69117051,2.578112382,26.20938866,7.641227993
377,57,2020/2021,WHO Europe,France,2021-W15,ILI,66.69117051,2.578112382,26.20938866,7.641227993
